Feature,Coef_Dropout,Coef_Enrolled,Coef_Graduate
Course_9853,0.8878563450951586,0.03245299869463605,-0.9203093437897907
Course_9991,0.159675599881609,0.04102390472595005,-0.20069950460756078
Previous qualification_1,-0.10595318098975386,0.35759136297380156,-0.25163818198404625
Previous qualification_2,0.8561341180892852,-0.07686747454335095,-0.7792666435459314
Previous qualification_3,0.26357802772546113,-0.24186791972076996,-0.02171010800469135
Previous qualification_4,0.5293298462083988,-0.39020620016094837,-0.13912364604745012
Previous qualification_5,0.0017286197785550664,-0.001662662364084977,-6.595741447008494e-05
Previous qualification_6,-0.26134275965348613,0.05307385608368338,0.20826890356980401
Previous qualification_9,0.20323336700301586,-0.16581457766222657,-0.03741878934079025
Previous qualification_10,-0.050998750242742044,-0.014346858654509163,0.0653456088972512
Previous qualification_12,-0.4008973342197232,0.15714147481936194,0.24375585940035777
Previous qualification_14,0.0019853210146662083,-0.0008440412220506689,-0.0011412797926155388
Previous qualification_15,-0.2156278913021057,-0.04978866028310592,0.2654165515852098
Previous qualification_19,0.13794251325963164,-0.15569340464974527,0.017750891390113304
Previous qualification_38,-0.261129206419345,0.13614239519579635,0.12498681122354778
Previous qualification_39,0.04918672900290374,0.10487771190594461,-0.15406444090884722
Previous qualification_40,-0.3454129459090773,0.4204221535151774,-0.07500920760609905
Previous qualification_42,-0.2017326291430125,-0.05207629472449222,0.25380892386750525
Previous qualification_43,-0.1907272348995192,-0.20880545695454705,0.3995326918540654
Nacionality_1,0.0187019452524822,-0.13107469045120992,0.11237274519873132
Nacionality_2,-0.034333745538470434,-0.08873330223821602,0.1230670477766863
Nacionality_6,-0.3058867282292191,0.48385046843528084,-0.17796374020606268
Nacionality_11,-0.12643901015817308,-0.24131639236368446,0.36775540252185757
Nacionality_13,-0.0023350759496833153,-0.022690679171152518,0.02502575512083578
Nacionality_14,-0.027728458746459864,-0.13863663058270284,0.16636508932916305
Nacionality_21,0.3592558664579858,-0.32131488728886676,-0.03794097916911989
